	id_sent	head	dep	SCORE	type	sent	Title	Author	Created	Sphere	Type	Topic	Publication	Publ_year	Medium
0	0	молод	музей	1	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
1	0	зодчества	деревянного	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
3	0	семь	всего	1	advmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
4	0	лет	семь	0	nummod:gov	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
6	0	сложилась	но	0	cc	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
7	0	сложилась	уже	0	advmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
8	0	сложилась	экспозиция	0	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
9	0	экспозиция	обширная	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
10	0	экспозиция	красочная	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
13	0	книге	раскрытой	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
14	0	подобная	книге	0	obl	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
15	0	прочтение	на	0	case	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
16	0	хватит	прочтение	0	obl	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
17	0	прочтение	которой	0	nmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
18	0	хватит	не	0	advmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
20	0	дня	и	1	cc	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
21	0	дня	целого	1	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
22	0	хватит	дня	1	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.	Музей-ларец // «Народное творчество», 2004		2004	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2004	журнал
23	1	вскрыла	сотрудница	0	nsubj	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
24	1	вскрыла	одно	0	obj	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
25	1	писем	из	0	case	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
26	1	одно	писем	0	nmod	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
