	id_sent	head	dep	SCORE	SCORE_KSENIA	type	sent
0	0	молод	музей	1	1	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
1	0	зодчества	деревянного	0	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
2	0	сложилась	ему	-	-	iobj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
3	0	семь	всего	1	0	advmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
4	0	лет	семь	0	0	nummod:gov	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
5	0	сложилась	лет	-	-	obl	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
6	0	сложилась	но	0	0	cc	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
7	0	сложилась	уже	0	0	advmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
8	0	сложилась	экспозиция	0	0	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
9	0	экспозиция	обширная	0	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
10	0	экспозиция	красочная	0	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
11	0	молод	экспозиция	-	-	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
12	0	книге	подобная	-	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
13	0	книге	раскрытой	0	0	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
14	0	подобная	книге	0	0	obl	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
15	0	прочтение	на	0	1	case	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
16	0	хватит	прочтение	0	1	obl	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
17	0	прочтение	которой	0	0	nmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
18	0	хватит	не	0	0	advmod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
19	0	книге	хватит	-	-	acl:relcl	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
20	0	дня	и	1	0	cc	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
21	0	дня	целого	1	1	amod	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
22	0	хватит	дня	1	0	nsubj	Музей деревянного зодчества молод-- ему всего семь лет,  но уже сложилась обширная красочная экспозиция,  подобная раскрытой книге,  на прочтение которой не хватит и целого дня.
23	1	вскрыла	сотрудница	0	0	nsubj	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
24	1	вскрыла	одно	0	0	obj	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
25	1	писем	из	0	PREP	case	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
26	1	одно	писем	0	?	nmod	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
27	1	адресовано	оно	0	0	nsubj:pass	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
28	1	адресовано	было	0	0	aux:pass	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
29	1	вскрыла	адресовано	-	-	parataxis	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
30	1	адресовано	прокурору	0	0	iobj	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
31	1	прокурору	области	0	0	nmod	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.
32	2	браков	от	0	PREP	case	От смешанных браков не всегда рождаются гениальные дети.
33	2	браков	смешанных	2	2	amod	От смешанных браков не всегда рождаются гениальные дети.
34	2	рождаются	браков	0	PREP	obl	От смешанных браков не всегда рождаются гениальные дети.
35	2	всегда	не	1	0	advmod	От смешанных браков не всегда рождаются гениальные дети.
36	2	рождаются	всегда	0	0	advmod	От смешанных браков не всегда рождаются гениальные дети.
